tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt10121968,tvEpisode,A Bridge Too Far,A Bridge Too Far,0,2018.0,,,Animation
tt10122020,tvMiniSeries,Life,Life,0,2020.0,2020,59,Drama
tt10122524,tvEpisode,Fashion,Fashion,0,2019.0,,,Documentary
tt10122530,tvEpisode,Love,Love,0,2019.0,,,Documentary
tt10124988,tvEpisode,Bringing Sexy Back,Bringing Sexy Back,0,2019.0,,,Comedy
tt10125564,tvEpisode,The Gift,The Gift,0,2019.0,,,"Animation,Comedy,Family"
tt10125624,tvEpisode,Paradox,Paradox,0,2019.0,,,Action
tt10125638,tvEpisode,Bad Blood,Bad Blood,0,2019.0,,24,"Action,Adventure,Animation"
tt10126044,video,Metro,Metro,0,2018.0,,1,"Animation,Short"
tt10127494,tvEpisode,Show Me the Money,Show Me the Money,0,2019.0,,,"News,Talk-Show"
tt10127684,movie,Rogue City,Bronx,0,2020.0,,116,"Action,Crime,Drama"
tt10128800,tvEpisode,Case Closed,Case Closed,0,2020.0,,,"Comedy,Crime,Drama"
tt10129738,short,Skin,Skin,0,2019.0,,21,"Drama,Short"
tt10130118,tvEpisode,Destiny,Destiny,0,2019.0,,59,Documentary
tt10130736,tvEpisode,Summertime,Summertime,0,2019.0,,,"Documentary,Family,History"
tt10130842,short,Trash,Trash,0,2019.0,,5,"Horror,Short"
tt10131166,tvEpisode,Brave,Brave,0,2019.0,,,Documentary
tt10132498,tvEpisode,Rebecca,Rebecca,0,2019.0,,,"Animation,Family,Fantasy"
tt10132524,tvEpisode,Outlander,Outlander,0,2018.0,,,Comedy
tt10132526,tvEpisode,House of Cards,House of Cards,0,2018.0,,,Comedy
tt10133076,movie,Special,Special,0,2019.0,,125,"Drama,Thriller"
tt10133246,tvEpisode,Romeo Akbar Walter,Romeo Akbar Walter,0,2019.0,,,Talk-Show
tt10133434,short,Solo,Solo,0,2018.0,,14,"Documentary,Short"
tt10134112,short,Brick,Brick,0,2019.0,,21,"Family,Short"
tt10134440,tvEpisode,Baby,Baby,0,2019.0,,45,Drama
tt10135204,tvEpisode,The Bucket List,The Bucket List,1,2019.0,,37,Adult
tt10135278,tvEpisode,Hollywood,Hollywood,0,2019.0,,,"Comedy,Family"
tt10135736,short,Knock Knock,Knock Knock,0,2018.0,,4,"Horror,Short"
tt10136298,movie,One Day,One Day,0,2019.0,,,
tt10136640,tvEpisode,The Trial,The Trial,0,2019.0,,,"Crime,Drama,Mystery"
tt10136680,short,After Maria,After Maria,0,2019.0,,35,"Documentary,Short"
tt10136942,short,Redemption,Redemption,0,2018.0,,6,Short
tt10137650,tvEpisode,Knock Knock,Knock Knock,0,2019.0,,,Animation
tt10137786,tvEpisode,Under Arrest,Under Arrest,0,2019.0,,,"Crime,Drama,Mystery"
tt10140484,tvEpisode,Evolution,Evolution,0,2019.0,,,Comedy
tt10140500,short,The Beast,The Beast,0,2019.0,,,Short
tt10140928,tvEpisode,Hide & Seek,Hide & Seek,0,2019.0,,,Comedy
tt10141612,tvSeries,The Defected,Tie tan,0,2019.0,2019,,Crime
tt10141742,tvSeries,Zodiac,Zodiac,0,2019.0,2019,30,"Crime,Horror,Mystery"
tt10145044,short,The Chosen One,The Chosen One,0,2019.0,,,"Short,Thriller"
tt10145110,tvSeries,Spectros,Spectros,0,2020.0,2020,,"Fantasy,Thriller"
tt10145244,tvEpisode,Unbridled,Unbridled,0,2020.0,,,"Comedy,Fantasy,Horror"
tt10145352,video,Gigi,Gigi,0,2018.0,,6,"Documentary,Drama,Short"
tt10146512,tvEpisode,Awesome Animals,Awesome Animals,0,2019.0,,,Comedy
tt10147520,tvMiniSeries,The Minions of Midas,Los favoritos de Midas,0,2020.0,2020,53,"Crime,Drama,Thriller"
tt10150284,short,Cake,Cake,0,2019.0,,,Short
tt10150582,tvEpisode,Mary Poppins Returns,Mary Poppins Returns,0,2019.0,,,Reality-TV
tt10151028,tvEpisode,Brave,Brave,0,2020.0,,52,"Drama,Horror"
tt10151030,tvEpisode,Truth or Dare,Truth or Dare,0,2020.0,,43,"Drama,Horror"
tt10151308,tvEpisode,X-Men Origins: Wolverine,X-Men Origins: Wolverine,0,2019.0,,12,Comedy
tt10151478,tvEpisode,The Rocketeer,The Rocketeer,0,2019.0,,42,"Comedy,Talk-Show"
tt10151772,tvSeries,Sneakerheads,Sneakerheads,0,2020.0,2020,,Comedy
tt10152398,tvEpisode,Splash,Splash,1,2018.0,,,Adult
tt10152518,tvEpisode,Luck of the Irish,Luck of the Irish,0,2019.0,,,"Comedy,Short,Talk-Show"
tt10155512,tvEpisode,The Boy,The Boy,0,2020.0,,52,"Drama,Mystery"
tt10155556,short,Loving,Loving,0,2019.0,,39,"Comedy,Drama,Fantasy"
tt10155932,movie,Cinderella,Cinderella,0,2021.0,,112,"Comedy,Family,Fantasy"
tt10156112,movie,"Hello, Love, Goodbye","Hello, Love, Goodbye",0,2019.0,,118,"Drama,Romance"
tt10156286,short,The Island,The Island,0,2021.0,,,"Short,Thriller"
tt10156598,tvEpisode,Fantastic Four,Fantastic Four,0,2018.0,,,Comedy
tt10158356,short,Three Days,Three Days,0,2019.0,,13,"Drama,Short"
tt10160124,tvEpisode,Hellboy,Hellboy,0,2019.0,,,Talk-Show
tt10160804,tvMiniSeries,Hawkeye,Hawkeye,0,2021.0,2021,60,"Action,Adventure,Crime"
tt10160908,short,Dead to Me,Dead to Me,0,2018.0,,6,"Horror,Short"
tt10161262,short,Awake,Awake,0,2018.0,,7,"Horror,Short"
tt10161640,tvEpisode,The Witcher,The Witcher,0,2019.0,,3,"News,Short"
tt10161886,movie,The Prom,The Prom,0,2020.0,,130,"Comedy,Drama,Musical"
tt10162034,tvEpisode,Doom,Doom,0,2018.0,,,Comedy
tt10162356,tvEpisode,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,0,2018.0,,,Comedy
tt10162756,tvEpisode,Hop,Hop,0,2019.0,,33,Comedy
tt10162758,tvEpisode,Stuart Little,Stuart Little,0,2019.0,,26,Comedy
tt10163382,short,Annie,Annie,0,2019.0,,3,"Comedy,Short"
tt10163526,short,Remember,Remember,0,2018.0,,7,"Drama,Short"
tt10163846,tvSeries,Marvel's Hero Project,Marvel's Hero Project,0,2019.0,2020,30,Documentary
tt10165798,tvEpisode,Bad Blood,Bad Blood,0,2019.0,,44,Documentary
tt10166540,tvEpisode,Van Helsing,Van Helsing,0,2018.0,,,Comedy
tt10167262,short,Lamp Life,Lamp Life,0,2020.0,,7,"Adventure,Animation,Comedy"
tt10168312,tvSeries,What If...?,What If...?,0,2021.0,2024,32,"Action,Adventure,Animation"
tt10168672,movie,The Players,Gli infedeli,0,2020.0,,88,Comedy
tt10169062,short,The Beast,The Beast,0,2019.0,,,Short
tt10169098,tvEpisode,Annie,Annie,0,2019.0,,,"Musical,Reality-TV"
tt10171920,tvEpisode,Newsies,Newsies,0,2018.0,,37,"Comedy,Drama,Musical"
tt10172048,tvEpisode,Revolt,Revolt,0,2019.0,,,"Action,Drama,Sci-Fi"
tt10172434,tvEpisode,Hellboy,Hellboy,0,2019.0,,,"Comedy,Talk-Show"
tt10172516,short,The Vanished,The Vanished,0,2019.0,,,"Sci-Fi,Short"
tt10172786,tvEpisode,Arthur,Arthur,0,2018.0,,,"Comedy,Talk-Show"
tt10174312,tvEpisode,Inside Out,Inside Out,0,2019.0,,,Drama
tt10177052,short,The Box,The Box,0,2019.0,,2,"Short,Thriller"
tt10177094,tvEpisode,The Matrix,The Matrix,0,2019.0,,,Talk-Show
tt10177330,tvEpisode,Daddy Issues,Daddy Issues,0,2018.0,,,Comedy
tt10177448,tvEpisode,Trick or Treat,Trick or Treat,0,2018.0,,5,Comedy
tt10177486,short,Let's Dance,Let's Dance,0,2018.0,,12,"Music,Short"
tt10177570,tvEpisode,Cold Feet,Cold Feet,0,2019.0,,8,Comedy
tt10177712,movie,Alexis Viera: A Story of Surviving,"Alexis Viera, una historia de superación",0,2019.0,,68,Documentary
tt10177964,short,Love Is Blind,Love Is Blind,0,2018.0,,,"Romance,Short"
tt10178558,tvEpisode,Back to School,Back to School,0,2019.0,,41,Reality-TV
tt10178846,movie,Equinox,Equinox,0,2019.0,,53,"Drama,Sci-Fi"
tt10181594,movie,Uncle Naji in UAE,Uncle Naji in UAE,0,2019.0,,95,"Comedy,Horror"
tt10182828,tvEpisode,The Confrontation,The Confrontation,0,2019.0,,,"Adventure,Animation,Comedy"
tt10183816,movie,Dangerous Lies,Dangerous Lies,0,2020.0,,96,"Crime,Mystery,Thriller"
