tconst,averageRating,numVotes
tt11107326,5.1,360
tt11111758,7.6,33
tt11113964,5.4,475
tt11120324,9.1,9
tt11120660,8.6,14
tt11120674,7.2,1216
tt11122356,9.5,10
tt11122856,8.5,18
tt11127056,7.3,1694
tt11127690,5.7,16105
tt11127878,6.2,921
tt11128084,8.1,1393
tt11131032,6.5,1102
tt11131962,6.1,987
tt11131980,7.7,2714
tt11132664,5.8,78
tt11133874,6.8,13
tt11133902,7.5,14
tt11134230,7.1,45
tt11134246,7.4,14
tt11136078,6.6,28
tt11137366,7.4,14
tt11137438,7.6,8
tt11137650,8.8,316
tt11137668,8.8,285
tt11138524,6.5,39
tt11140508,7.5,125
tt11143248,4.1,71
tt11146690,6.9,481
tt11147266,8.4,5
tt11147852,8.0,14520
tt11148254,7.4,33
tt11151162,2.9,147
tt11151792,7.1,1698
tt11151836,2.8,218
tt11152058,7.6,781
tt11153736,4.3,136
tt11156002,7.4,155
tt11156614,5.4,717
tt11161474,7.0,59773
tt11162638,5.4,322
tt11163008,6.5,2083
tt11163014,7.7,2400
tt11163028,5.5,1900
tt11163090,6.1,38
tt11163352,7.9,2985
tt11165002,7.5,16094
tt11165936,5.4,22
tt11166674,8.0,281
tt11167166,7.7,345
tt11168100,7.5,3129
tt11168104,7.2,1278
tt11168116,6.9,769
tt11168226,6.9,1389
tt11170028,7.2,31
tt11170862,9.0,8529
tt11173308,7.3,2649
tt11173772,8.2,5
tt11175858,8.6,6
tt11176048,6.6,465
tt11177308,7.2,1128
tt11182116,8.5,249
tt11182932,7.4,573
tt11191142,8.2,897
tt11192470,7.5,6
tt11193422,5.9,62
tt11193834,6.7,38
tt11193888,5.8,363
tt11194492,6.2,683
tt11194508,4.6,1458
tt11194518,5.5,75
tt11194696,8.8,285
tt11195444,7.4,83
tt11198866,7.6,50
tt11199310,3.9,3474
tt11199356,6.6,5648
tt11199410,5.5,15117
tt11199552,6.4,65
tt11199866,7.3,62
tt11203200,7.5,138
tt11204160,7.3,918
tt11205014,5.4,205
tt11205260,6.4,178
tt11206278,8.2,204
tt11206664,8.8,19
tt11207086,7.6,86
tt11207394,7.5,119
tt11213372,6.0,11835
tt11214028,7.5,1958
tt11215112,6.5,425
tt11215130,5.6,101
tt11215186,4.8,58
tt11217324,7.1,60
tt11218894,7.7,311
tt11219164,6.2,67
tt11223432,7.9,250
tt11228748,8.1,19372
tt11229598,7.5,892
tt11229946,8.1,689
tt11230868,7.5,3981
tt11231664,9.3,1392
tt11232280,8.4,78
tt11238096,7.4,5974
tt11239552,8.1,24681
tt11240506,4.9,15884
tt11241096,6.0,110
tt11242242,5.3,2612
tt11242292,7.6,594
tt11243536,6.5,1387
tt11245716,7.5,18
tt11246618,8.1,140
tt11246932,7.8,90
tt11247064,4.7,638
tt11247976,7.9,586
tt11252688,6.1,248
tt11253686,4.9,12
tt11254858,6.5,1428
tt11256122,7.7,502
tt11261116,8.7,71
tt11261224,7.4,11
tt11262712,9.3,16
tt11262978,7.2,299
tt11267006,6.0,6
tt11268706,7.4,328
tt11268752,7.8,1204
tt11269368,7.2,6
tt11269704,7.3,1971
tt11269714,7.4,3520
tt11269886,6.1,3352
tt11272898,4.4,2199
tt11273384,5.7,7
tt11273976,6.7,137
tt11276598,3.7,3439
tt11278276,6.5,45
tt11278320,7.0,36
tt11278516,6.2,37
tt11278760,5.7,687
tt11281424,7.2,30
tt11281912,4.8,39
tt11284280,5.2,13405
tt11284960,6.6,36
tt11285924,6.9,127
tt11286002,7.0,20
tt11286854,8.9,57
tt11291262,7.4,28
tt11295300,6.5,622
tt11295482,7.5,29
tt11300920,8.2,226
tt11301642,8.4,31937
tt11301834,6.8,1252
tt11302274,8.4,177
tt11303372,7.1,24
tt11305558,7.9,441
tt11306006,7.0,10
tt11307176,7.4,11106
tt11309414,7.6,65
tt11310004,5.0,3639
tt11310798,5.2,15
tt11311416,7.8,241
tt11311442,8.3,226
tt11311728,7.2,42
tt11313068,5.3,165
tt11313076,6.0,1151
tt11316134,7.3,44
tt11316824,7.2,3098
tt11317124,8.6,8
tt11318052,6.4,8
tt11318602,8.0,68500
tt11319968,6.6,7
tt11323406,6.5,37
tt11323430,5.7,17
tt11324024,4.6,166
tt11330500,5.5,34
tt11332750,6.2,1831
tt11333946,6.7,20
tt11338558,6.5,71
tt11347750,8.7,145
tt11348184,9.7,7
tt11349196,6.9,525
tt11349762,6.8,10
tt11349768,6.5,9
tt11350076,7.3,15
tt11353562,7.4,2063
tt11355212,4.8,449
tt11356772,7.4,514
tt11358804,7.5,32
tt11362024,8.2,662
tt11367848,7.8,6
tt11373856,5.3,18
tt11378154,2.7,777
tt11378264,7.3,3594
tt11385066,2.8,1500
tt11387974,8.4,47
tt11388188,7.6,108
tt11388406,6.0,21757
tt11388580,7.4,26515
tt11388804,5.2,14
tt11389316,7.0,10
tt11389656,8.2,44
tt11390036,5.9,18580
tt11390530,6.9,3693
tt11393148,7.7,11616
tt11393818,9.3,74
tt11394180,7.4,7604
tt11394338,7.0,361
tt11394340,6.3,579
tt11396202,7.5,31
tt11398870,8.2,24472
tt11399844,5.8,443
tt11402446,6.4,9
tt11405420,10.0,5
tt11409202,7.4,276
tt11415602,8.3,43
tt11415606,8.9,44
tt11418344,6.1,813
tt11420152,8.3,66
tt11426646,6.8,14
tt11426660,8.0,7216
tt11429068,7.3,106
tt11430264,5.2,141
tt11431798,8.5,12
tt11433008,8.7,257
tt11433326,8.0,24
tt11433812,8.3,52
tt11434862,2.6,190
tt11437496,8.8,95
tt11437550,7.7,404
tt11444436,8.2,5
tt11447906,7.7,606
tt11448082,7.4,16
tt11448424,6.9,266
tt11448752,9.3,482
tt11452752,8.5,31
tt11454170,6.5,1609
tt11458648,8.3,14
tt11459892,9.9,14
tt11460714,6.8,13
tt11460744,5.7,118
tt11464360,7.3,15
tt11464488,6.6,340
tt11464826,7.6,93762
tt11466206,6.0,27
tt11468820,6.3,23
tt11469660,6.5,166
tt11472872,7.7,30
tt11474574,6.6,98
tt11475228,7.3,20432
tt11481312,6.1,1122
tt11488724,6.9,1405
tt11489288,6.4,74
